antibiotic,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,ampicillin,erythromycin,oxytetracycline,penicillin,tetracycline,tylosin,minocyclin,gentamicin,streptomycin,clindamycin,virginiamycin,vancomycin,teicoplanin,quinupristin/dalfopristin,ciprofloxacin,chloramphenicol,lincomycin,oxacillin,bacitracin,nalidixic acid,novobiocin,trimethoprim/sulfamethoxazole,tobramycin,amoxicillin/clavulanate,cefaclor,cefepime,netilmicin,pefloxacin,rifampicin,nitrofurantoin,pristinamycin,doxycycline,imipenem,norfloxacin,ticarcillin,piperacillin/tazobactam,cefalotin,cefoxitin,cefuroxime,ceftazidime,amikacin,kanamycin,methicillin,cefotaxime,cefpodoxime,aztreonam,ceftriaxone,cefotetan,cefazolin,sulbactam/ampicillin,ertapenem,amoxicillin,meropenem,colistin.sulfate,cefamandole,piperacillin,mupirocin
data,7,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,inside,0,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,10,6,9,9,8,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,inside,0,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,10,6,6,9,7,4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,downwind,25,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,6,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,10,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,downwind,25,Andersen-2,salmonella.sp,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,6,1,7,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,downwind,25,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,6,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,gibbs2004,pig,finishing,North Carolina,USA,Summer,downwind,25,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,6,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,novais2013,pig,NR,undisclosed,Portugal,April-December,inside,0,Petri,enteroccus.faecalis,.21.hx6,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,12,0,1,NA,NA,1,NA,1,1,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,novais2013,pig,NR,undisclosed,Portugal,April-December,inside,0,Petri,enteroccus.faecium,.32.sn210;sn213,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,12,0,0,NA,NA,1,NA,1,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,novais2013,pig,NR,undisclosed,Portugal,April-December,inside,0,Petri,unknown,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,12,0,0,NA,NA,1,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enteroccus.dispar,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,5,NA,4,NA,NA,4,NA,NA,NA,NA,4,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enteroccus.durans,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,5,NA,2,NA,NA,0,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enteroccus.faecalis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,5,NA,5,NA,NA,6,NA,NA,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enteroccus.faecium,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,5,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enterococcus.hirae,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,14,5,NA,14,NA,NA,13,NA,NA,NA,NA,14,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,agardilution,chapin2005,pig,finishing,North Carolina,USA,December-January,inside,0,AGI-30.impinger,enterococcus.sp,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,5,NA,11,NA,NA,11,NA,NA,NA,NA,11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,upwind,-25,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,6,8,7,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,18,6,13,13,15,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,25,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,14,6,3,14,13,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,50,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,19,6,8,16,16,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,100,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,20,6,15,13,10,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,150,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,9,6,5,6,4,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,upwind,-25,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,6,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,inside,0,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,19,6,14,13,19,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,25,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,12,6,2,8,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,10,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,50,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,14,6,6,8,9,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,100,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,9,6,4,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,12,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,150,Andersen-2,streptococci.groupA,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,6,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,13,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,upwind,-25,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,13,6,11,9,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,14,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,inside,0,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,17,6,11,10,16,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,15,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,25,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,13,6,8,11,8,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,16,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,50,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,6,4,5,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,17,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,100,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,6,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,18,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,150,Andersen-2,fecal.coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,6,5,4,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,19,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,upwind,-25,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,10,6,8,7,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,20,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,inside,0,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,16,6,13,10,12,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
